REC001 | 2026-05-30 08:01:14 | ERROR | CASH_JAM
REC001 | 2026-05-30 08:03:55 | INFO | SHUTTER_TESTING_AFTER_JAM
REC001 | 2026-05-30 08:05:02 | OK | SHUTTER_OPERATIVE_AFTER_JAM

ATM001 | 2026-05-30 08:10:44 | ERROR | OFFLINE
ATM001 | 2026-05-30 08:13:11 | INFO | NETWORK_CONNECTING
ATM001 | 2026-05-30 08:15:28 | OK | ONLINE

REC002 | 2026-05-30 08:20:33 | WARNING | CASH_NOT_RECOGNIZED
REC002 | 2026-05-30 08:22:47 | WARNING | CASH_RETRACTED_DURING_TRX
REC002 | 2026-05-30 08:25:13 | INFO | CORRECT_TRX_AFTER_TIME_ALARM

ATM002 | 2026-05-30 08:31:56 | ERROR | TRANSPORT_INOPERATIVE
ATM002 | 2026-05-30 08:34:10 | INFO | TRANSPORT_RESTART_IN_PROGRESS
ATM002 | 2026-05-30 08:36:59 | OK | TRANSPORT_OPERATIVE_AFTER_RESTART

REC003 | 2026-05-30 08:40:41 | ERROR | MCRW_FAILED
REC003 | 2026-05-30 08:43:18 | INFO | MCRW_RESTART_IN_PROGRESS
REC003 | 2026-05-30 08:46:03 | OK | MCRW_OPERATIVE_AFTER_RESTART

ATM003 | 2026-05-30 08:51:22 | WARNING | CARD_RETAINED
ATM003 | 2026-05-30 08:53:41 | INFO | HOST_NOT_RESPONDING
ATM003 | 2026-05-30 08:56:27 | OK | HOST_CONNECTED_CORRECTLY

REC004 | 2026-05-30 09:01:12 | ERROR | SHUTTER_JAMMED
REC004 | 2026-05-30 09:03:55 | INFO | SHUTTER_TESTING_AFTER_JAM
REC004 | 2026-05-30 09:05:44 | OK | SHUTTER_OPERATIVE_AFTER_JAM

ATM004 | 2026-05-30 09:11:38 | WARNING | LONG_TIME_SINCE_LAST_TRX
ATM004 | 2026-05-30 09:13:51 | INFO | CORRECT_TRX_AFTER_TIME_ALARM
ATM004 | 2026-05-30 09:16:42 | OK | REVERSAL_SENT_CORRECTLY

REC005 | 2026-05-30 09:20:17 | ERROR | CASH_JAM
REC005 | 2026-05-30 09:22:46 | WARNING | CASH_RETRACTED_DURING_TRX
REC005 | 2026-05-30 09:25:28 | OK | TRANSPORT_OK_AFTER_JAM_RETRACT

ATM005 | 2026-05-30 09:30:55 | ERROR | EPP_NOT_WORKING
ATM005 | 2026-05-30 09:33:08 | INFO | NETWORK_CONNECTING
ATM005 | 2026-05-30 09:36:31 | OK | ONLINE

REC006 | 2026-05-30 09:41:49 | WARNING | CARD_EFECT_PROBLEM
REC006 | 2026-05-30 09:44:07 | INFO | HOST_NOT_RESPONDING
REC006 | 2026-05-30 09:46:15 | OK | HOST_CONNECTED_CORRECTLY

ATM006 | 2026-05-30 09:50:26 | ERROR | OFFLINE
ATM006 | 2026-05-30 09:52:41 | INFO | NETWORK_CONNECTING
ATM006 | 2026-05-30 09:55:03 | OK | ONLINE

REC007 | 2026-05-30 10:00:11 | ERROR | TRANSPORT_INOPERATIVE
REC007 | 2026-05-30 10:03:36 | INFO | TRANSPORT_RESTART_IN_PROGRESS
REC007 | 2026-05-30 10:06:12 | OK | TRANSPORT_OPERATIVE_AFTER_RESTART

ATM007 | 2026-05-30 10:11:55 | WARNING | CASH_NOT_RECOGNIZED
ATM007 | 2026-05-30 10:14:07 | INFO | CORRECT_TRX_AFTER_TIME_ALARM
ATM007 | 2026-05-30 10:16:45 | OK | REVERSAL_SENT_CORRECTLY
